ds,y0
2007-12-10,14629.0
2007-12-11,5012.0
2007-12-12,3582.0
2007-12-13,3205.0
2007-12-14,2680.0
2007-12-15,2401.0
2007-12-16,4510.0
2007-12-17,6831.0
2007-12-18,4370.0
2007-12-19,3196.0
2007-12-20,2642.0
2007-12-21,2349.0
2007-12-22,1862.0
2007-12-23,4382.0
2007-12-24,5542.0
2007-12-25,2572.0
2007-12-26,2576.0
2007-12-27,3140.0
2007-12-28,2770.0
2007-12-29,2536.0
2007-12-30,16369.0
2007-12-31,11920.0
2008-01-01,3999.0
2008-01-02,4604.0
2008-01-03,3874.0
2008-01-04,3317.0
2008-01-05,2836.0
2008-01-06,13484.0
2008-01-07,6952.0
2008-01-08,4585.0
2008-01-09,3821.0
2008-01-10,3951.0
2008-01-11,3995.0
2008-01-12,3638.0
2008-01-13,21950.0
2008-01-14,25011.0
2008-01-15,7584.0
2008-01-16,5251.0
2008-01-17,5155.0
2008-01-18,4446.0
2008-01-19,3726.0
2008-01-20,6898.0
2008-01-21,54025.0
2008-01-22,12644.0
2008-01-23,7505.0
2008-01-24,5133.0
2008-01-25,4893.0
2008-01-26,4525.0
2008-01-27,5285.0
2008-01-28,6226.0
2008-01-29,5620.0
2008-01-30,5846.0
2008-02-01,6797.0
2008-02-02,5105.0
2008-02-03,16286.0
2008-02-04,179415.0
2008-02-05,41576.0
2008-02-06,16183.0
2008-02-07,11110.0
2008-02-08,7870.0
2008-02-09,5373.0
2008-02-10,5527.0
2008-02-11,5521.0
2008-02-12,3698.0
2008-02-13,3181.0
2008-02-14,3339.0
2008-02-15,2439.0
2008-02-16,2054.0
2008-02-17,1912.0
2008-02-18,2234.0
2008-02-19,2413.0
2008-02-20,2227.0
2008-02-21,2365.0
2008-02-22,2198.0
2008-02-23,1601.0
2008-02-24,2726.0
2008-02-25,2052.0
2008-02-26,1946.0
2008-02-27,1935.0
2008-02-29,1905.0
2008-03-02,1536.0
2008-03-05,3377.0
2008-03-06,2664.0
2008-03-07,2489.0
2008-03-08,1610.0
2008-03-09,2476.0
2008-03-10,1886.0
2008-03-11,1898.0
2008-03-12,2184.0
2008-03-13,1767.0
2008-03-14,1570.0
2008-03-15,1133.0
2008-03-16,1234.0
2008-03-17,1556.0
2008-03-18,1520.0
2008-03-19,1578.0
2008-03-20,1448.0
2008-03-21,1410.0
2008-03-22,1099.0
2008-03-23,1292.0
2008-03-24,2343.0
2008-03-25,1842.0
2008-03-26,1659.0
2008-03-27,1707.0
2008-03-28,1378.0
2008-03-29,1087.0
2008-03-30,1355.0
2008-03-31,1497.0
2008-04-01,1555.0
2008-04-02,1834.0
2008-04-03,1625.0
2008-04-04,1460.0
2008-04-05,1441.0
2008-04-06,1298.0
2008-04-07,2021.0
2008-04-08,2034.0
2008-04-09,1679.0
2008-04-10,3576.0
2008-04-11,1635.0
2008-04-12,1220.0
